
Nombre: Howard the Duck
Identidad: Howard (Last name unrevealed)
Altura: 79.35
Peso: 18.45
Fuerza 2
Inteligencia: No tiene

Nombre: Rocket Raccoon
Identidad: Rocket Raccoon
Altura: 122.77
Peso: 25.73
Fuerza 5
Inteligencia: average

Nombre: Wolverine
Identidad: Logan
Altura: 160.7
Peso: 135.21
Fuerza 35
Inteligencia: good

Nombre: Black Widow
Identidad: Natasha Romanoff
Altura: 170.79
Peso: 59.34
Fuerza 15
Inteligencia: good

Nombre: Mystique
Identidad: Raven Darkholme
Altura: 178.65
Peso: 54.96
Fuerza 15
Inteligencia: good
